Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10,Region 11,Region 12,Region 13,Region 14,Region 15,Region 16,years
78.5304659498208,76.90732206861239,86.81515616999488,49.75934459805428,33.97849462365591,23.320532514080902,17.578084997439834,28.41013824884793,85.95494111623144,26.052227342549923,87.65232974910394,93.81464413722478,10.650281618023554,73.37941628264208,76.70762928827445,36.02150537634409,1984
67.92114695340501,68.4152585765489,80.97798259088582,46.90220174091142,76.88172043010752,69.47004608294931,40.99590373783922,48.433179723502306,51.072708653353814,61.426011264720934,88.42293906810036,84.31387608806963,8.402457757296467,89.06041986687147,77.55248335893498,6.16231438812084,1985
76.1699948796723,87.31182795698925,75.56067588325654,6.48489503328213,74.84383000512032,77.70353302611367,34.13722478238607,70.1331285202253,89.38044034818229,65.29441884280594,75.81925243215566,72.49615975422427,20.08448540706605,88.28725038402457,87.37071172555044,5.591397849462366,1986
66.75627240143369,87.8699436763953,83.81976446492575,5.7936507936507935,88.1336405529954,49.02457757296467,6.827956989247312,67.6036866359447,80.68612391193037,85.22529441884281,87.9800307219662,77.67793138760881,29.64925755248336,62.96979006656426,43.824884792626726,21.09831029185868,1987
29.1321044546851,32.87762416794675,16.694828469022017,21.66410650281618,88.49718381976447,79.08602150537635,5.970302099334358,81.61290322580645,82.58576548899129,66.7153097798259,83.44342037890425,65.55555555555556,74.71070148489504,90.06400409626217,70.12544802867383,35.944700460829495,1988
26.052227342549923,89.29595494111624,37.54992319508448,41.02918586789555,29.11674347158218,17.534562211981566,17.519201228878647,84.48796722990272,90.29185867895545,87.65232974910394,93.27444956477214,27.875064004096263,78.57910906298004,86.54377880184332,63.2258064516129,72.8853046594982,1989
61.426011264720934,81.09575012800819,32.496159754224266,76.48233486943164,88.9247311827957,40.010240655401944,33.59959037378392,40.91141833077317,40.25089605734767,88.42293906810036,76.59498207885305,24.877112135176652,88.15668202764977,87.9441884280594,10.532514080901176,62.59600614439324,1990
65.29441884280594,73.76856118791602,4.034818228366616,67.14029697900665,85.79109062980031,35.906298003072195,64.20634920634922,82.47823860727087,69.68766001024066,75.81925243215566,67.4347158218126,56.044546850998465,87.75729646697388,86.74859190988224,10.721966205837173,82.06349206349206,1991
85.22529441884281,78.21044546850999,2.3835125448028673,86.39528929851511,62.7547363031234,3.323092677931388,61.01126472094214,79.23195084485407,64.1500256016385,87.9800307219662,75.2662570404506,62.798259088581666,31.280081925243213,18.507424475166413,38.200204813108044,82.31182795698925,1992
66.7153097798259,38.61239119303635,12.419354838709678,88.4331797235023,82.48847926267281,3.0005120327700974,81.74347158218126,75.76804915514593,5.197132616487455,83.44342037890425,67.01484895033282,85.62724014336918,82.97235023041475,33.4536610343062,54.920634920634924,37.38095238095238,1993
