,Min Temp,Max Temp,Mean Temp,RAINFALL,month_year,percentile_25,median,percentile_75
0,15.260999997456869,29.096666717529295,22.178833357493083,0.08595757087071737,2013-04,0.3057655738141197,0.4557203354292689,0.7587530310614949
1,19.819677445196337,33.81935451876733,26.81951598198183,0.4133664350355825,2013-05,0.4502947468488582,0.6656201721234738,0.7393861481135344
2,21.1029998143514,29.616666793823242,25.35983330408732,31.58652862906456,2013-06,0.1584336671542702,0.2260393133564523,0.761798348996439
3,21.582258039905177,28.522257958689043,25.05225799929711,20.653475515304073,2013-07,0.1201210392994325,0.2498196073768308,0.8391651518868306
4,20.858064405379757,27.880000022149854,24.369032213764807,24.44694044897633,2013-08,0.1996014611291822,0.2676815129432777,0.3465624489432381
5,19.47300001780192,28.44966672261556,23.96133337020874,7.319201717774074,2013-09,0.0415152209199271,0.1393399018809933,0.2482090659220801
6,16.22774197978358,25.97096763118621,21.099354805484897,1.0327723257003292,2013-10,0.1117538730899472,0.2246431402411812,0.3319736007613375
7,9.081999937693277,22.470666440327964,15.77633318901062,0.408671377102534,2013-11,0.4625892050333222,0.655409539799704,0.7963936039233701
8,6.215483857739356,18.351612983211393,12.283548420475375,0.22759387570042763,2013-12,-0.4622669744552119,0.1288304774579936,0.6992021789508611
9,5.158741851006785,15.231570705290764,10.195156278148774,3.3461659637189682,2014-01,0.4879303210041973,0.7188556074560324,0.8311349879150418
10,6.049936354160309,16.893233026776993,11.471584690468651,3.927219324878284,2014-02,0.6714455383176475,0.8266827827770021,0.8980185752919603
11,10.139172077178955,22.33380182327763,16.23648695022829,2.1731360871945657,2014-03,0.8069413148969877,0.8271523139630499,0.8481969786060986
12,14.088678137461345,28.384423764546714,21.236550951004027,0.825622965892156,2014-04,0.5787919268004791,0.635020025733736,0.6878685359075781
13,17.901830488635646,31.55319663017027,24.727513559402958,1.0877156973846498,2014-05,0.2824320874883183,0.4079297091867797,0.7138456502306141
14,21.759142684936524,33.898352432250974,27.82874755859375,2.7607419242461524,2014-06,0.1189119626295622,0.6748129675810475,0.9575504963212376
15,21.50180176765688,29.376745716218025,25.439273741937452,15.079472463938497,2014-07,0.4264946932487355,0.5067420679129385,0.6029090836794624
16,21.042076664586222,29.93471348670221,25.488395075644217,19.588547412906923,2014-08,-0.1977645870380398,0.0645670826833074,0.4160597281335887
17,19.001287523905436,28.41110979715983,23.706198660532632,4.228945199648539,2014-09,-0.4344472722635307,-0.1141738982474051,0.5990706581911606
18,14.918778634840443,26.331409946564705,20.625094290702574,2.80761353719619,2014-10,0.7287080530006083,0.8405718220269518,0.8824010258554255
19,9.711085494359335,23.498254140218098,16.604669817288716,0.0,2014-11,0.2190586305902728,0.3326936885631516,0.4854443576511688
20,5.980300557228826,16.977795847000614,11.47904820211472,0.9413966632658437,2014-12,-0.4588413052074864,0.1361065692712406,0.6893051729284103
21,5.309572142939413,14.177416955271076,9.743494549105245,0.9815678755121846,2015-01,0.6988337662303189,0.7443947166149704,0.7912732878982782
22,8.337178570883614,19.515957627977645,13.926568099430629,0.7273078986576625,2015-02,0.8130576869884134,0.8471402393855513,0.8816579358514841
23,10.970355156929262,22.126802352166944,16.548578754548103,5.362489485452252,2015-03,0.5122269804911843,0.5841941956984874,0.6703193206793727
24,15.140198866526285,27.275998306274413,21.20809858640035,1.8649198144674302,2015-04,0.8848493253008258,0.9216250748144555,0.9563259734593758
25,19.461241814397997,33.170191734067856,26.315716774232925,0.38436421944249055,2015-05,0.2272802631547542,0.2635651491065101,0.3066279696150457
26,20.54737580617269,31.4488125483195,25.998094177246095,4.942407284180323,2015-06,0.1928362472404581,0.2449865530224667,0.3982206252054849
27,21.024879578621157,28.25932865758096,24.64210411810106,15.903264547547986,2015-07,-0.4274270793927974,0.4531306974643272,0.8701652722781313
28,20.898548803021832,28.401945114135742,24.650246958578787,18.50268674906223,2015-08,0.1498097529642441,0.1878369090703172,0.2191137450077317
29,19.486858240763347,29.11611467997233,24.301486460367837,2.5553220093250273,2015-09,-0.4340061466899244,-0.1202519918473226,0.4825573903278658
30,15.634467617157966,27.449533339469664,21.542000478313817,0.7205053490977134,2015-10,-0.4748660001641305,0.0911988861354317,0.8258418762814216
31,11.254149532318115,23.256120999654133,17.255135265986123,0.11533048748970032,2015-11,0.0061883399980856,0.1679467805951573,0.3015247631155973
32,6.7095236393713185,18.478688547688147,12.594106093529732,0.22735155974664994,2015-12,-0.4962674106807185,-0.0238268778680027,0.5910724976165065
33,5.89902057955342,16.696885908803633,11.297953244178526,0.0,2016-01,0.2322410182612528,0.6555288076467838,0.8427980171153333
34,8.00899836112713,20.653958287732355,14.331478324429742,0.6781036982248569,2016-02,0.8001669878418076,0.8275018075700986,0.8577023957163477
35,12.16668753470144,25.208422199372322,18.68755486703688,0.9583017672261884,2016-03,0.5750436515635531,0.5989990748864814,0.6314552388961747
36,16.961048889160157,31.751635360717774,24.356342124938966,0.2082333485285441,2016-04,0.7481811385914486,0.8241777192004609,0.8573745243314901
37,19.368262813937278,32.31036075468986,25.839311784313573,1.5100301412805435,2016-05,0.1222764063852087,0.3174298711849276,0.9040527785661128
38,21.42679214477539,31.713669967651366,26.57023105621338,5.952283228933811,2016-06,0.1888907572741358,0.233675445568134,0.2764987828650541
39,21.193957482614824,28.218505797847623,24.706231640231223,18.093567253601165,2016-07,0.1729238172336767,0.2621686655160261,0.366857516065439
40,21.01338688019783,28.67919091255434,24.846288896376088,11.952207860927428,2016-08,0.1837856630079127,0.2431179565614794,0.2911528319480264
